Res Num,Last Name,Number in Party,Num Kids,Room Pref,AP,TiW,Visit Num,Last Visit,Average Season,Num Complaint,Prev Satisfaction (out of 10),Avg Park Entry (nearest hour),Avg Park Exit (nearest hour),Age Range,Average Room Service Spend,Average In Hotel Spend,Favorite Park,Reservation Made,Income,Race,Home State,Celebrating,Allergies,View Preference,Weight,Sleeping,Web/Phone,Travel Agent,Group Res? (linked res in parens),DDP,Travel Frequency,Favorite Character,Food service preference,Flight Res,Length of Stay,Avg Park Day (nearest hour duration),MMH freq,EMH freq,Elevator Pref,Crib/Rail,Refrigerator,Pool Usage,Frequent Attraction,OCD,Special Event,Special Needs,Grocery Delivery,Typical Stay
85,Zelma Mcclaskey,3,1,2QNS,n,n,9,2007,Value,9,8,8,16,4 to 69,23,8,EP,Jul,85k,NR,GA,n,n,Woods,184,LL,P,y,n,y,Never,Goofy,TS,Delta,4,9,Never,Frequently,None,Both,n,Occasionally,Walt Disney's Carousel of Progress,n,n,n,n,2QNSWV
86,Loraine Felice,5,1,KNS,n,n,5,1980,Value,4,6,11,17,14 to 52,28,25,HS,Oct,40k,Other,GA,n,n,No Pref,177,LL,W,y,n,n,Never,Mickey,TS,US Air,7,7,Occasionally,Never,Far,None,n,Rarely,Kilimanjaro Safaris,y,n,n,y,2QNSSV
87,Kelly Gutter,4,3,2QNS,n,n,4,1983,Regular,5,10,8,16,8 to 32,25,5,EP,Jul,85k,African American,NY,n,y (animals),Standard,157,EL,W,n,n,y,Occasionally,Scar,Snack,Delta,8,4,Occasionally,Rarely,None,None,y,Occasionally,Journey into Imagination,y,n,n,n,SUNSWV
88,Darren Piscitelli,2,2,KNS,n,n,11,1976,Peak,1,7,12,18,10 to 69,26,11,MK,Mar,40k,White,TN,y (graduation),n,Standard,219,LL,W,n,n,y,Frequently,Mickey,Snack,Southwest,8,12,Rarely,Never,None,Rail,y,Occasionally,Soarin',n,y,n,n,KNSSV
89,Lakisha Lipsett,4,2,KNS,n,n,10,1979,Regular,4,8,8,18,18 to 37,18,13,MK,Feb,40k,Other,RI,n,y (nuts),Courtyard,178,EE,P,y,n,y,Rarely,Launchpad,QS,American,5,10,Never,Rarely,None,None,y,Occasionally,Maelstrom,y,n,n,n,KNSCV
90,Tyrone Bonneville,3,2,SUNS,n,n,1,1996,Value,14,9,9,19,10 to 44,9,22,MK,Jun,65k,Other,SC,y (wedding/anniversary),y (animals),Standard,199,EE,P,y,n,y,Frequently,Jafar,TS,AirTran,7,10,Rarely,Occasionally,None,None,n,Frequently,Primeval Whirl,n,y,n,y,SUSCV
91,Nelson Warlick,1,0,2QNS,n,n,9,1999,Regular,4,10,9,19,33,7,7,MK,Jul,85k,NR,AL,n,n,Woods,151,EE,W,n,n,n,Occasionally,Ursula,TS,Delta,3,4,Never,Rarely,None,None,y,Rarely,Maelstrom,n,n,n,n,SUNSSV
92,Clinton Tagle,5,1,2QNS,n,n,7,1979,Peak,6,9,10,19,6 to 26,5,11,MK,Feb,40k,White,WV,n,n,No Pref,158,EL,W,y,n,y,Never,Jafar,Snack,US Air,7,7,Occasionally,Rarely,Far,None,y,Frequently,Soarin',n,n,n,n,KSWV
93,Kelly Ruffino,2,1,2QNS,n,n,2,1999,Regular,8,8,11,16,16 to 58,20,18,MK,Oct,65k,Asian,GA,n,n,Courtyard,226,LL,W,y,n,y,Frequently,Donald,TS,Avianca,7,9,Occasionally,Never,Far,None,y,Rarely,Mad Tea Party,n,n,n,n,2QNSSV
94,Allan Kin,5,2,KNS,n,n,2,1998,Value,6,9,12,19,6 to 58,21,12,EP,Mar,The 1 percent,Hispanic,OH,n,y (environmental),No Pref,222,EL,W,y,n,n,Frequently,Jafar,TS,JetBlue,7,7,Rarely,Rarely,None,Rail,y,Occasionally,Journey into Imagination,n,n,n,y,2QNSWV
95,Louisa Linz,1,1,SUNS,n,n,5,2002,Regular,3,7,11,16,15,17,5,MK,Jun,65k,NR,FL,n,n,Woods,230,EE,P,y,n,y,Frequently,Donald,QS,Delta,4,6,Frequently,Never,Near,None,y,Occasionally,Flights of Wonder,y,n,n,n,SUNSSV
96,Darryl Wiemer,1,0,KNS,n,n,5,1978,Regular,10,7,11,17,22,25,3,EP,Jun,The 1 percent,Other,MA,n,n,Courtyard,184,EL,W,n,n,y,Frequently,Scar,TS,United,8,7,Never,Occasionally,Near,None,y,Frequently,Flights of Wonder,y,n,n,n,SUNSCV
97,Darryl Caddy,5,1,SUNS,n,n,11,1977,Value,10,7,9,16,6 to 28,13,9,AK,Apr,40k,Hispanic,MS,n,y (animals),No Pref,151,EE,W,n,n,n,Rarely,Goofy,TS,NA,7,10,Frequently,Rarely,None,None,y,Rarely,Kali River Rapids,n,n,n,n,SUNSSV
98,Kurt Weyandt,6,0,SUNS,y,y,2,1985,Regular,4,7,9,17,20 to 34,21,11,EP,Mar,The 1 percent,Hispanic,TX,n,y (nuts),Courtyard,182,EL,P,y,n,n,Frequently,Launchpad,TS,US Air,5,5,Never,Never,None,None,y,Occasionally,Journey into Imagination,n,y,n,n,2QNSCV
99,Lance Pedrick,3,1,KNS,y,n,1,1985,Regular,10,7,8,16,6 to 60,22,25,MK,Jan,NR,NR,MD,n,n,No Pref,205,EE,W,y,n,y,Rarely,Pete,TS,Southwest,4,6,Frequently,Never,None,None,y,Occasionally,Journey into Imagination,n,n,n,y,SUNSSV
100,Amie Thrall,3,2,SUNS,n,n,9,1996,Regular,9,8,11,18,11 to 63,21,8,MK,Sep,The 1 percent,NR,OH,n,n,Woods,147,EL,P,y,n,y,Never,Hook,Snack,JetBlue,7,9,Occasionally,Never,Far,None,y,Rarely,Mad Tea Party,n,n,y (hearing impaired),y,KNSWV
101,Erik Harward,4,2,KS,y,y,3,1975,Regular,2,9,9,17,6 to 66,5,15,AK,Apr,40k,Hispanic,MS,n,y (environmental),Standard,166,EL,W,n,n,y,Rarely,Ursula,QS,Avianca,5,11,Never,Occasionally,Near,Both,n,Frequently,Jungle Cruise,n,n,n,y,KNSWV
102,Cody Sharpton,1,0,2QS,n,n,5,2010,Regular,9,9,11,16,64,22,5,EP,Mar,The 1 percent,African American,RI,n,y (nuts),No Pref,153,EE,P,y,n,y,Occasionally,Scar,Snack,Delta,6,11,Occasionally,Rarely,Near,None,y,Rarely,Voyage of the Little Mermaid,n,n,n,y,2QSWV
103,Clayton Zertuche,6,2,KNS,n,n,8,1979,Value,7,10,10,19,3 to 32,21,5,MK,Jun,65k,Hispanic,GA,n,n,No Pref,159,EE,W,n,n,n,Frequently,Goofy,QS,Avianca,6,5,Rarely,Never,None,None,n,Rarely,Space Mountain,n,n,n,n,2QNSSV
104,Christian Jn,2,0,2QNS,n,n,4,1981,Value,9,8,10,19,21 to 39,24,2,MK,May,85k,Hispanic,NH,n,y (nuts),No Pref,232,EE,P,n,n,y,Frequently,Launchpad,Snack,American,6,10,Frequently,Never,None,None,y,Occasionally,Flights of Wonder,n,n,n,n,SUNSSV
105,Clinton Balogh,4,2,KNS,n,n,9,1980,Value,5,6,10,19,6 to 30,18,24,AK,Jan,40k,NR,VA,n,n,Standard,210,EE,P,n,n,n,Never,Hook,TS,United,4,10,Never,Rarely,None,None,n,Rarely,Primeval Whirl,n,y,n,n,SUNSCV
106,Noemi Mulherin,3,1,SUNS,n,n,13,2007,Peak,10,7,9,16,14 to 65,8,24,HS,Oct,85k,Other,TX,n,y (environmental),Woods,191,EL,W,n,n,n,Never,Pete,QS,US Air,3,12,Rarely,Occasionally,None,None,y,Rarely,Flights of Wonder,n,n,n,n,2QNSWV
107,Tia Fordyce,1,0,2QNS,n,n,7,1986,Value,11,9,11,16,39,5,12,EP,May,85k,White,TN,n,n,Standard,153,LL,P,n,n,n,Rarely,Launchpad,Snack,American,4,8,Occasionally,Rarely,Far,None,y,Occasionally,Flights of Wonder,n,n,n,n,2QNSWV
108,Ericka Miers,3,2,SUNS,n,n,6,2005,Regular,10,10,10,17,3 to 21,7,15,MK,Jul,100k,Hispanic,FL,n,y (environmental),No Pref,231,EE,W,n,n,n,Occasionally,Jafar,QS,AirTran,3,7,Frequently,Rarely,Near,Both,y,Frequently,Star Tours: The Adventure Continues,n,y,n,n,2QSWV
109,Hugh Maresca,4,0,2QNS,y,n,4,1972,Value,5,8,12,17,19 to 65,23,17,HS,Jul,65k,Asian,SC,n,y (animals),No Pref,209,EE,P,n,n,y,Frequently,Mickey,TS,Southwest,5,5,Never,Never,None,None,n,Occasionally,Spaceship Earth,n,n,n,y,2QSWV
110,Max Labrum,4,1,KNS,n,n,3,2001,Regular,14,7,9,19,3 to 23,21,12,EP,Oct,65k,NR,MS,y (birthday),y (environmental),Standard,146,EE,W,y,"y (46, 71, 114)",y,Frequently,Launchpad,TS,NA,6,4,Never,Rarely,Near,None,y,Occasionally,Journey into Imagination,n,n,n,n,2QNSSV
111,Marcie Lush,3,0,SUNS,y,y,8,1972,Regular,4,9,10,19,19 to 44,12,0,MK,May,65k,Hispanic,WV,n,n,Woods,149,EL,W,n,n,y,Never,Pete,TS,NA,3,11,Rarely,Rarely,None,None,y,Frequently,Jungle Cruise,n,y,n,n,2QSWV
112,Tyrone Hick,3,2,KNS,n,n,6,1981,Value,0,6,8,19,7 to 42,26,22,EP,Aug,40k,Hispanic,OH,y (graduation),n,Standard,160,EE,W,y,"y (46, 71, 112)",n,Frequently,Ursula,QS,Delta,3,6,Frequently,Never,Near,None,y,Occasionally,Voyage of the Little Mermaid,y,n,n,n,KNSWV
113,Jessie Shrewsbury,6,0,SUNS,n,n,4,1992,Value,14,6,10,17,21 to 64,1,27,MK,Apr,85k,Hispanic,OH,n,y (environmental),Standard,202,LL,P,y,n,y,Never,Mickey,QS,Delta,4,6,Occasionally,Occasionally,None,None,n,Rarely,Living with the Land,n,n,y (sight impaired),n,2QNSSV
114,Darren Cuesta,6,5,2QNS,n,n,1,1994,Value,7,10,12,17,4 to 34,21,15,AK,Jan,NR,African American,WV,y (graduation),n,No Pref,167,EE,W,y,n,n,Rarely,Goofy,QS,JetBlue,6,8,Occasionally,Rarely,None,None,n,Frequently,Kali River Rapids,n,n,n,y,KNSCV
115,Jeanie Underdown,1,0,SUNS,n,n,11,1978,Value,6,6,9,19,50,10,24,MK,Oct,100k,Other,Europe,n,n,Standard,202,EL,W,y,n,y,Frequently,Hook,Snack,United,4,6,Rarely,Occasionally,None,None,y,Occasionally,Splash Mountain,n,n,n,n,2QNSSV
116,Karina Pullum,6,3,SUNS,n,n,7,1973,Value,0,7,8,17,16 to 54,27,12,MK,Mar,40k,Other,FL,n,y (nuts),No Pref,210,EL,W,y,n,n,Occasionally,Scar,QS,JetBlue,4,5,Rarely,Occasionally,Near,None,n,Rarely,Big Thunder Mountain,y,y,n,n,2QNSCV
117,Elinor Holzworth,6,2,SUNS,n,n,6,1998,Value,5,9,11,18,6 to 40,15,1,HS,Apr,100k,NR,MS,n,y (animals),Woods,214,LL,P,n,n,y,Never,Hook,TS,American,6,5,Never,Frequently,Far,Rail,n,Occasionally,Soarin',n,n,n,y,2QSWV
118,Darren Belvin,1,0,SUNS,n,n,8,1974,Regular,12,10,8,16,60,7,15,MK,Jan,NR,Asian,IN,n,n,No Pref,185,EE,W,y,n,y,Rarely,Jafar,TS,NA,6,6,Never,Never,None,None,y,Rarely,Muppet*Vision 3D,n,n,n,n,KNSWV
119,Fernando Blakeley,1,0,2QNS,n,n,10,1977,Value,5,8,9,18,19,10,22,MK,Oct,100k,African American,NY,y (graduation),n,No Pref,217,LL,W,y,n,y,Frequently,Ursula,QS,NA,7,10,Never,Rarely,None,None,y,Rarely,Space Mountain,n,n,n,y,2QNSCV
120,Maricela Dille,1,0,2QNS,n,n,2,2009,Regular,4,9,10,19,43,20,13,EP,Feb,100k,African American,NH,y (birthday),n,Courtyard,226,LL,W,y,n,y,Rarely,Mickey,QS,NA,3,12,Never,Frequently,None,None,y,Occasionally,Kali River Rapids,y,n,n,n,2QNSSV
121,Gershon,2,0,2QNS,n,n,4,2008,Value,8,8,12,16,20 to 24,21,9,EP,Aug,100k,Other,FL,n,n,Courtyard,181,EE,W,y,n,y,Rarely,Launchpad,QS,JetBlue,4,4,Frequently,Rarely,None,None,y,Frequently,Mad Tea Party,n,n,n,n,2QNSWV
122,Clayton Piermarini,6,1,2QNS,n,n,1,1983,Regular,2,9,10,16,18 to 66,16,0,EP,Jan,NR,Other,OH,n,n,Woods,207,LL,P,n,n,n,Rarely,Donald,QS,NA,7,12,Occasionally,Occasionally,None,None,y,Frequently,Journey into Imagination,n,n,n,n,KNSWV
123,Jessie Magby,4,2,2QNS,n,n,12,1994,Value,12,10,8,19,7 to 28,13,26,EP,Feb,40k,Other,VT,n,n,Standard,214,LL,W,y,n,y,Frequently,Goofy,QS,Delta,4,10,Rarely,Occasionally,None,None,y,Occasionally,Nap Time with Ben Franklin and Mark Twain,n,y,n,n,2QNSWV
124,Lonnie Whitehill,3,1,2QNS,n,n,7,2010,Regular,13,6,9,16,16 to 36,19,15,MK,Oct,NR,African American,MD,n,n,Woods,143,EE,W,y,n,y,Never,Goofy,TS,JetBlue,7,10,Frequently,Rarely,Far,None,y,Rarely,Spaceship Earth,n,n,n,y,2QNSWV
125,Marcantel,3,2,2QS,y,y,8,1983,Peak,11,6,9,18,3 to 66,29,15,MK,Mar,NR,Hispanic,SC,n,n,Courtyard,152,EE,W,y,n,y,Rarely,Pete,TS,NA,8,5,Rarely,Occasionally,None,Rail,y,Occasionally,Spaceship Earth,n,n,n,y,2QNSCV
126,Ted Marciano,5,2,2QNS,n,n,3,2000,Value,13,10,12,18,3 to 47,16,17,EP,May,65k,African American,NH,n,n,No Pref,170,LL,P,y,n,n,Occasionally,Donald,QS,NA,8,7,Rarely,Frequently,Near,None,y,Occasionally,Kali River Rapids,n,n,n,n,2QSWV
127,Wickliffe,1,0,2QNS,y,n,0,NA,Regular,0,-,-,-,54,14,25,EP,Apr,40k,Other,SC,n,y (animals),Standard,224,EE,P,n,n,y,Never,Donald,TS,JetBlue,8,11,Occasionally,Rarely,Far,None,y,Frequently,Buzz Lightyear's Space Ranger Spin,n,y,n,y,NA
128,Lance Aguila,3,1,2QNS,n,n,3,2000,Regular,4,9,8,17,4 to 68,26,11,AK,Aug,40k,White,PA,n,n,Woods,159,EL,P,y,n,y,Never,Pete,TS,NA,5,11,Never,Occasionally,Far,None,y,Rarely,Toy Story Mania,n,n,n,n,2QSSV
129,Julio Fleagle,2,1,2QNS,y,y,13,1984,Regular,9,9,12,19,17 to 63,23,10,MK,Jul,100k,African American,GA,n,n,Standard,225,LL,W,n,n,y,Never,Ursula,Snack,Delta,7,5,Occasionally,Occasionally,None,None,y,Occasionally,Muppet*Vision 3D,n,y,n,y,SUNSSV
130,Julianne Vandervoort,1,0,SUNS,n,n,4,1988,Value,1,9,10,17,41,27,12,AK,Sep,The 1 percent,White,NC,n,n,No Pref,189,EL,P,y,n,y,Frequently,Hook,Snack,JetBlue,3,12,Rarely,Occasionally,None,None,n,Occasionally,Kilimanjaro Safaris,n,y,n,n,SUNSSV
131,Fernando Burdo,1,0,2QNS,n,n,0,1971,Value,1,6,8,18,54,2,24,EP,Oct,65k,Hispanic,PA,n,y (nuts),Courtyard,193,EE,W,n,n,n,Occasionally,Hook,QS,Avianca,7,8,Frequently,Occasionally,Near,None,y,Rarely,Mad Tea Party,n,n,n,n,SUSWV
132,Darren Buhler,2,1,2QNS,n,n,13,1974,Value,9,9,8,17,16 to 68,29,18,AK,Mar,40k,NR,VT,n,y (environmental),Standard,143,LL,P,n,"y (166, 171)",y,Frequently,Jafar,Snack,Southwest,7,5,Never,Frequently,None,None,y,Occasionally,Mad Tea Party,n,n,n,n,2QSCV
133,Max Conyer,1,0,SUNS,y,y,13,2005,Regular,7,7,12,18,29,24,22,HS,Jan,40k,Hispanic,GA,n,n,Courtyard,211,EL,W,n,n,y,Frequently,Hook,TS,JetBlue,6,10,Rarely,Never,Far,None,y,Frequently,Toy Story Mania,n,n,n,n,2QNSCV
134,Hugh Maniscalco,6,3,2QNS,n,n,0,NA,Regular,0,-,-,-,8 to 54,22,22,AK,Jan,The 1 percent,Hispanic,FL,n,y (animals),No Pref,216,EE,W,n,n,y,Frequently,Pete,QS,NA,5,4,Frequently,Never,Near,None,y,Frequently,Spaceship Earth,n,n,n,y,NA
135,Fernando Permenter,2,0,SUNS,y,n,4,2010,Regular,2,6,9,19,21 to 27,19,4,AK,Jul,100k,NR,MA,n,n,Courtyard,197,LL,P,y,n,y,Rarely,Goofy,TS,NA,8,6,Frequently,Occasionally,None,None,n,Frequently,Walt Disney's Enchanted Tiki Room,n,n,y (hearing impaired),y,2QNSCV
136,Hillary Critelli,3,2,SUNS,n,n,11,1989,Value,7,6,9,16,3 to 33,12,26,AK,May,NR,Other,FL,n,n,Courtyard,208,EE,P,n,n,n,Never,Hook,QS,AirTran,6,7,Occasionally,Never,None,None,y,Occasionally,Splash Mountain,n,y,n,n,KSSV
137,Hugh Hartigan,3,2,2QNS,y,n,4,2010,Value,8,6,10,18,8 to 57,19,28,MK,Mar,NR,Asian,MA,n,n,Courtyard,211,EL,W,y,n,y,Never,Hook,Snack,American,3,12,Occasionally,Rarely,None,None,y,Occasionally,Buzz Lightyear's Space Ranger Spin,n,n,n,y,2QNSWV
138,Clinton Sin,3,2,SUNS,n,n,6,1989,Value,12,9,9,18,9 to 63,8,3,MK,Sep,65k,African American,TX,n,n,Standard,157,EE,P,y,n,y,Occasionally,Hook,TS,JetBlue,4,7,Never,Rarely,None,None,n,Rarely,Voyage of the Little Mermaid,n,y,n,n,SUNSWV
139,Neil Mcqueary,5,2,SUNS,n,n,13,2004,Regular,11,9,12,17,6 to 20,9,11,AK,Jul,100k,White,PA,n,n,No Pref,238,EE,W,y,y (152),y,Never,Scar,TS,Southwest,8,6,Frequently,Never,None,None,y,Frequently,Dumbo the Flying Elephant,n,y,n,n,SUSSV
140,Jami Seppala,5,0,2QNS,n,n,8,1999,Regular,13,6,10,16,22 to 46,25,19,AK,Oct,The 1 percent,White,NH,n,n,Woods,148,EE,W,n,n,y,Occasionally,Ursula,TS,Delta,8,4,Never,Rarely,None,None,n,Occasionally,Toy Story Mania,n,n,n,n,2QNSSV
141,Greg Fairfield,4,1,SUNS,n,n,2,1986,Value,11,7,12,18,17 to 37,25,20,MK,May,85k,Hispanic,IN,n,n,No Pref,236,EE,P,y,n,n,Occasionally,Scar,TS,US Air,8,4,Never,Never,Far,None,n,Rarely,Maelstrom,n,n,n,n,SUNSWV
142,Fay Kiger,2,1,2QNS,n,n,11,1986,Peak,14,6,9,18,11 to 69,20,27,AK,Jul,65k,NR,FL,n,n,Courtyard,177,LL,W,n,n,y,Occasionally,Ursula,Snack,JetBlue,7,10,Rarely,Frequently,None,None,y,Occasionally,Mad Tea Party,n,n,n,n,2QNSWV
143,Elva Baize,1,0,SUNS,n,n,2,1991,Value,10,10,11,19,23,24,16,EP,Jul,NR,Hispanic,TX,n,n,No Pref,155,LL,W,n,n,y,Never,Ursula,TS,American,3,8,Occasionally,Frequently,None,None,y,Rarely,Kilimanjaro Safaris,y,n,n,y,SUNSWV
144,Corey Mcnitt,6,2,2QNS,n,n,2,1984,Value,9,9,9,19,4 to 44,7,3,MK,Aug,40k,African American,MD,n,y (nuts),Courtyard,207,LL,W,n,n,n,Occasionally,Pete,QS,American,5,4,Rarely,Rarely,Far,None,n,Rarely,Living with the Land,n,n,n,y,2QNSWV
145,Zachary Manchester,4,0,2QNS,n,n,4,1978,Regular,9,9,11,19,20 to 52,16,14,EP,Aug,100k,Asian,PA,y (graduation),n,Courtyard,195,EL,W,n,n,y,Never,Jafar,QS,NA,3,10,Rarely,Rarely,None,None,y,Occasionally,Walt Disney's Enchanted Tiki Room,n,n,n,n,SUNSSV
146,Clyde Bartram,1,0,2QS,n,n,6,1988,Value,13,9,9,19,23,25,26,EP,Jul,100k,Other,PA,n,n,Woods,144,EE,W,y,n,y,Frequently,Launchpad,QS,American,4,9,Occasionally,Never,None,None,n,Occasionally,Jungle Cruise,n,n,n,y,2QSSV
147,Herman Fonda,3,1,2QNS,y,y,5,2003,Peak,6,9,9,17,6 to 30,20,10,MK,Jun,65k,NR,MA,n,n,Standard,187,EE,W,y,n,y,Rarely,Donald,TS,JetBlue,6,12,Never,Rarely,None,None,y,Occasionally,Walt Disney's Carousel of Progress,n,n,n,n,2QSCV
148,Lewis Blanche,6,1,2QNS,y,y,13,1998,Regular,10,10,8,17,17 to 62,28,2,AK,Apr,85k,White,Europe,n,y (environmental),Courtyard,206,LL,W,n,n,y,Occasionally,Ursula,TS,JetBlue,4,11,Never,Rarely,None,None,y,Occasionally,Muppet*Vision 3D,y,n,n,n,2QNSSV
149,Ola Dirksen,3,2,2QNS,y,n,10,2006,Value,4,6,11,16,5 to 55,8,14,MK,Jul,100k,African American,NH,n,n,Courtyard,239,EE,P,n,n,y,Rarely,Hook,TS,Southwest,3,9,Occasionally,Never,None,Rail,n,Rarely,Spaceship Earth,y,y,n,y,2QNSWV
150,Vernon Bitting,6,1,2QNS,n,n,1,1989,Regular,11,6,10,18,12 to 59,4,18,MK,Aug,NR,Hispanic,VA,n,n,Courtyard,220,EE,P,n,y (141),y,Never,Iago,TS,US Air,8,8,Occasionally,Rarely,Near,None,y,Rarely,Kali River Rapids,n,n,n,y,KNSSV
151,Shane Cresswell,6,0,SUNS,y,y,13,1995,Value,9,7,12,16,21 to 53,26,2,EP,Jul,40k,African American,MD,n,n,No Pref,222,EE,W,n,n,y,Never,Donald,QS,AirTran,4,6,Never,Never,None,None,n,Frequently,Jungle Cruise,n,n,y (wheelchair),n,2QNSSV
152,Elisabeth Teller,5,1,2QNS,n,n,11,1972,Regular,6,7,11,16,13 to 22,11,9,HS,Apr,40k,NR,VT,n,y (nuts),Courtyard,179,EE,W,n,n,y,Frequently,Pete,QS,Avianca,3,9,Rarely,Rarely,None,None,n,Rarely,Muppet*Vision 3D,n,y,n,n,2QNSSV
153,Cherie Avilez,3,0,2QNS,n,n,10,2010,Regular,4,7,11,19,21 to 69,3,12,AK,May,NR,Asian,OH,n,n,Standard,145,LL,W,y,n,y,Occasionally,Goofy,Snack,United,7,7,Rarely,Occasionally,Far,None,n,Rarely,Primeval Whirl,n,n,n,n,2QNSWV
154,Ricardo Barrington,5,3,SUNS,n,n,12,1978,Peak,6,9,8,19,3 to 33,13,29,MK,Jan,NR,Asian,FL,n,n,Woods,176,LL,W,n,n,y,Occasionally,Ursula,TS,Avianca,5,10,Occasionally,Frequently,None,Crib,n,Frequently,Living with the Land,n,n,n,n,SUSWV
155,Debora Ferro,6,0,2QNS,n,n,6,1999,Value,13,10,8,16,19 to 63,1,24,EP,Aug,85k,Hispanic,VT,n,n,Woods,238,EE,W,n,n,y,Occasionally,Iago,QS,NA,5,6,Occasionally,Rarely,Far,None,n,Occasionally,Spaceship Earth,n,n,n,n,2QNSWV
156,Tamika Saylors,1,0,SUNS,n,n,7,2005,Regular,5,6,10,17,34,17,4,MK,Mar,85k,Hispanic,MS,n,n,No Pref,189,EE,P,n,n,y,Frequently,Donald,QS,JetBlue,6,11,Occasionally,Never,Far,None,n,Occasionally,Kilimanjaro Safaris,n,n,n,n,SUNSSV
157,Latonya Calles,6,3,SUNS,y,y,4,1996,Value,8,6,12,18,17 to 28,2,9,MK,Mar,65k,Hispanic,AL,n,n,Courtyard,220,EE,W,n,n,y,Occasionally,Goofy,QS,American,5,5,Rarely,Occasionally,None,None,n,Rarely,Voyage of the Little Mermaid,n,n,n,n,SUNSWV
158,Brent Petroff,3,1,2QNS,n,n,4,1997,Regular,12,8,8,19,3 to 67,26,20,AK,Jan,65k,NR,IN,n,n,Courtyard,190,EE,P,n,n,n,Frequently,Donald,QS,NA,6,8,Never,Occasionally,Near,None,y,Occasionally,Journey into Imagination,n,n,n,y,2QNSSV
159,Jorge Jeanes,3,2,SUNS,n,n,1,1994,Peak,13,8,10,17,3 to 32,13,8,AK,Aug,100k,Other,MS,n,y (animals),No Pref,218,EL,W,y,n,y,Rarely,Jafar,QS,Avianca,4,11,Never,Occasionally,Near,Crib,y,Frequently,Dumbo the Flying Elephant,n,n,n,n,KNSCV
160,Ester Simonsen,6,1,SUNS,y,n,6,1999,Value,13,6,12,16,4 to 40,17,10,MK,Feb,100k,White,MS,n,n,Courtyard,232,LL,W,y,n,y,Never,Scar,QS,Southwest,3,4,Never,Rarely,None,None,n,Rarely,Living with the Land,n,n,n,n,KNSSV
161,Tim Tse,5,0,2QNS,n,n,5,1995,Peak,7,8,12,17,20 to 35,22,10,MK,Jul,85k,Hispanic,VA,n,y (environmental),Woods,160,LL,P,y,n,y,Frequently,Jafar,TS,NA,5,6,Occasionally,Occasionally,None,None,n,Frequently,Voyage of the Little Mermaid,y,n,n,n,SUNSCV
162,Eugenia Mirza,5,3,SUNS,n,n,6,2007,Regular,0,7,12,19,9 to 40,29,3,AK,Feb,100k,NR,TX,n,n,Courtyard,197,EE,W,y,n,y,Never,Scar,Snack,JetBlue,8,12,Rarely,Rarely,None,None,y,Occasionally,Buzz Lightyear's Space Ranger Spin,n,n,n,n,SUNSSV
163,Ricardo Furlow,6,2,2QNS,y,y,9,1997,Value,3,9,11,16,12 to 28,4,2,EP,Sep,40k,NR,WV,n,y (animals),No Pref,144,EE,P,y,n,y,Rarely,Goofy,TS,US Air,4,12,Frequently,Occasionally,Far,None,y,Frequently,Space Mountain,n,y,n,n,SUNSWV
164,Petra Gibbens,3,2,SUNS,n,n,8,1994,Value,6,7,9,16,16 to 38,14,19,EP,Feb,65k,Hispanic,WV,n,y (environmental),Standard,205,EL,W,n,"y (134, 171)",y,Occasionally,Scar,TS,Southwest,6,11,Occasionally,Rarely,Far,None,y,Frequently,Toy Story Mania,n,n,n,y,KNSCV
165,Kelsey Marble,6,2,2QNS,n,n,10,1990,Value,6,10,10,17,8 to 46,10,12,AK,Jun,The 1 percent,African American,Europe,n,n,No Pref,148,EE,W,n,n,y,Rarely,Ursula,TS,Avianca,8,6,Rarely,Rarely,None,None,y,Occasionally,Kilimanjaro Safaris,n,y,n,n,SUNSCV
166,Graciela Potvin,1,1,SUNS,n,n,6,1972,Value,2,7,8,18,16,22,9,MK,Oct,40k,Asian,MS,n,y (environmental),No Pref,233,LL,W,y,n,y,Frequently,Iago,TS,NA,5,4,Occasionally,Frequently,None,None,y,Frequently,Soarin',n,n,n,n,2QNSWV
167,Zachary Helland,4,0,KNS,n,n,5,1999,Value,11,9,8,17,22 to 50,19,21,MK,Oct,100k,Asian,MD,n,y (environmental),Standard,142,EL,W,y,n,n,Rarely,Hook,QS,United,8,11,Rarely,Rarely,None,None,y,Rarely,Flights of Wonder,n,n,n,n,2QNSSV
168,Derrick Mccammon,3,2,KNS,n,n,13,1999,Peak,7,7,10,19,7 to 37,21,7,AK,Oct,100k,Other,NY,n,y (environmental),Woods,146,LL,P,n,n,y,Occasionally,Jafar,QS,JetBlue,5,8,Occasionally,Occasionally,None,None,y,Occasionally,Kali River Rapids,y,n,n,n,2QSCV
169,Gabriela Pavlik,5,0,KNS,n,n,0,NA,Regular,0,-,-,-,20 to 39,4,13,MK,Feb,85k,Asian,TX,n,y (environmental),Courtyard,226,EL,P,y,"y (134, 166)",y,Rarely,Donald,QS,AirTran,4,5,Never,Occasionally,Far,None,y,Frequently,Voyage of the Little Mermaid,n,n,n,n,NA
170,Rick Scarpelli,5,3,KNS,n,n,11,2003,Regular,2,8,12,16,6 to 45,11,8,MK,Sep,100k,African American,MA,n,n,Standard,193,EL,W,y,n,y,Rarely,Mickey,TS,Avianca,5,12,Rarely,Never,None,None,y,Occasionally,Kali River Rapids,n,n,n,n,2QNSWV
